id	dataset_id	institution_code	collection_code	catalog_number	basis_of_record	scientific_name	scientific_name_author	taxon_id	kingdom	phylum	class	order	family	genus	specific_epithet	kingdom_id	phylum_id	class_id	order_id	family_id	genus_id	species_id	country_code	host_country	latitude	longitude	year	month	event_date	elevation_in_meters	depth_in_meters	verbatim_scientific_name	taxon_rank	verbatim_kingdom	verbatim_phylum	verbatim_class	verbatim_order	verbatim_family	verbatim_genus	verbatim_specific_epithet	verbatim_infraspecific_epithet	verbatim_latitude	verbatim_longitude	coordinate_precision	maximum_elevation_in_meters	minimum_elevation_in_meters	elevation_precision	minimum_depth_in_meters	maximum_depth_in_meters	depth_precision	continent_ocean	state_province	county	country	recorded_by	locality	verbatim_year	verbatim_month	day	verbatim_basis_of_record	identified_by	date_identified	created	modified
321748940	7bd65a7a-f762-11e1-a439-00145eb45e9a	MO	Tropicos	1684974	PRESERVED_SPECIMEN	Pinus echinata Mill.	Mill.	5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324	US	US			1951	10	1951-10-04T00:00Z	121		Pinus echinata Mill.						Pinaceae	Pinus	echinata						121					North America	Arkansas	Craighead	United States	Demaree, Delzie	Crowleys Ridge. P.O. Joneboro.	1951	10	4	S			2011-01-14T04:05Z	2011-01-19T08:33Z
321748973	7bd65a7a-f762-11e1-a439-00145eb45e9a	MO	Tropicos	1685385	PRESERVED_SPECIMEN	Pinus echinata Mill.	Mill.	5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324	US	US			1926	5	1926-05-19T00:00Z			Pinus echinata Mill.						Pinaceae	Pinus	echinata											North America	Missouri	Iron	United States	Palmer, E.J.	Rocky hills, near Sabula.	1926	5	19	S			2011-01-14T04:05Z	2011-01-19T08:33Z
321749237	7bd65a7a-f762-11e1-a439-00145eb45e9a	MO	Tropicos	3266931	PRESERVED_SPECIMEN	Pinus echinata Mill.	Mill.	5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324	US	US			1998	12	1998-12-26T00:00Z			Pinus echinata Mill.						Pinaceae	Pinus	echinata											North America	Alabama	Coffee	United States	John R. MacDonald	vicinity of Enterprise; Roadside of Hwy. 27 at 2.0 miles SW of Dale Co. line, within boundaries of Ft. Rucker. -common, with nearby Pinus palustris-	1998	12	26	S			2011-01-14T04:05Z	2011-01-19T08:33Z
321749303	7bd65a7a-f762-11e1-a439-00145eb45e9a	MO	Tropicos	3572626	PRESERVED_SPECIMEN	Pinus echinata Mill.	Mill.	5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324	US	US	38.08	-90.98	2001	3	2001-03-08T00:00Z	289		Pinus echinata Mill.						Pinaceae	Pinus	echinata		38.08	-90.98			289					North America	Missouri	Washington	United States	C.E. Darigo	Pea Ridge Conservation Area; 0.3 mi SW of State Highway 185; on W side of main Indian Creek parking area entrance road many trees of various size and age range; abundant in upland oak-hickory forest	2001	3	8	S			2011-01-14T04:09Z	2011-01-19T08:33Z
240720443	8937328e-f762-11e1-a439-00145eb45e9a	OKL	CTH-520	DA-CTH-520	UNKNOWN	Pinus echinata Mill.		5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324		US								Pinus echinata P. Mill.																															2010-08-10T15:43Z	2010-08-10T15:43Z
217036106	7133ff0a-f762-11e1-a439-00145eb45e9a	NY	Herbarium	61047	PRESERVED_SPECIMEN	Pinus echinata Mill.	Mill.	5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324	US	US			1987	3	1987-03-21T00:00Z			Pinus echinata Mill.		Plantae	Pinophyta (conifers)			Pinaceae	Pinus	echinata											North America	Louisiana	Winn Parish	United States of America	R. D. Thomas	This specimen represents an endangered or threatened species. The specific locality has been removed from this record to protect this species from over-collection. These data may be supplied to researchers on request.	1987	03	21	S			2009-08-24T16:41Z	2011-01-28T03:07Z
575346273	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	E	E	E00078649	PRESERVED_SPECIMEN	Pinus echinata Mill.		5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata	6	101	194	640	3925	2684241	5285324	US	GB								Pinus echinata Mill.						Pinaceae	Pinus	echinata												Georgia		US	Eggert, H.	Stone Mountain				PreservedSpecimen			2012-04-25T16:43Z	2013-12-23T17:58Z
56627125	84f9770e-f762-11e1-a439-00145eb45e9a	UA	UNA	UNA00029171	PRESERVED_SPECIMEN	Pinus echinata Mill.	P. Mill.	5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324	US	US	34.16667	-86.85						Pinus echinata P. Mill.		Plantae				Pinaceae	Pinus	echinata		34.16667	-86.85000	11380							North and Central America	Alabama	Cullman	US	Charles Mohr	Cullman		04	13	S	L. J. Davenport		2007-03-28T12:52Z	2013-01-10T19:11Z
574670625	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	E	E	E00420614	PRESERVED_SPECIMEN	Pinus echinata Mill.		5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata	6	101	194	640	3925	2684241	5285324	US	GB								Pinus echinata Mill.						Pinaceae	Pinus	echinata												Louisiana		US	Drummond, Thomas	New Orleans				PreservedSpecimen			2012-04-25T10:02Z	2013-12-23T17:28Z
623655292	95c938a8-f762-11e1-a439-00145eb45e9a	KU	KANU	159025	UNKNOWN	Pinus echinata Mill.		5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata	6	101	194	640	3925	2684241	5285324	US	US	0.0	0.0						Pinus echinata						Pinaceae	Pinus	echinata		0	0								North America	Oklahoma	Mayes	USA	Charles S Wallis	Spavinaw, 1 mi W on State 82					Charles S Wallis		2012-06-16T01:25Z	2013-12-22T19:58Z
