gbif	canonical	genus_jw	se_jw	gswitch	fuzzy	bothwfo	suspect	spelling_alternative	remove
Brachypodium distachyon var. genuinum	Brachypodium distachyon var. velutinum	1	0.950242424242424	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Rubus vestitus var. parviflorus	Rubus vestitus var. albiflorus	1	0.950242424242424	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Trichilia casaretti var. microphyllina	Trichilia casarettoi var. microphyllina	1	0.950246305418719	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Callitriche verna var. caespitosa	Callitriche verna var. cespitosa	1	0.950476190476191	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Betula alleghaniensis f. macrolepis	Betula alleghaniensis var. macrolepis	1	0.950634920634921	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Chrysanthemum leucanthemum f. leucanthemum	Chrysanthemum leucanthemum var. leucanthemum	1	0.950634920634921	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Medicago cupaniana	Medicago cupianiana	1	0.950740740740741	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Potentilla fruiticosa	Potentilla fruticosa	1	0.950740740740741	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Carya illinoensis	Carya illinoinensis	1	0.951048951048951	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Lepidium latifolium f. latifolium	Lepidium latifolium var. latifolium	1	0.951198439241917	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Mentha verticillata var. pilosa	Mentha verticillata var. paludosa	1	0.951198439241917	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Salix hultenii f. angustifolia	Salix hultenii var. angustifolia	1	0.951198439241917	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Achillea asplenifolia	Achillea aspleniifolia	1	0.951282051282051	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Fagus aspleniifolia	Fagus asplenifolia	1	0.951282051282051	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Micranthes hieracifolia	Micranthes hieraciifolia	1	0.951282051282051	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Myrica asplenifolia	Myrica aspleniifolia	1	0.951282051282051	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Saxifraga hieracifolia	Saxifraga hieraciifolia	1	0.951282051282051	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
