Cyperus spongiosovaginatus
Grewia biloba
Cerbera thevetia
Peuce larix
Briza pilosa
Galearia fragifera
Smilax higoensis
Cirsium linkii
Chlora serotina
Arundo littoralis
Eupatorium klattii
Mentha undulata
Hedysarum hedysaroides
Acer trilobum
Nertera granadensis
Artemisia songarica
Ornithogalum altaicum
Rorippa intermedia
Zamia mexicana
Puccinellia embergeri
Fraxinus theophrasti
Atriplex crassipes
Anchusa intermedia
Cirsium argunense
Oncerum rupestre
Acer palmatisectum
Arabis incana
Ribes magellanicum
Dolichos arboreus
Stipa hymenoides
Eugenia myrtifolia
Mentha szilyana
Gigantochloa maxima
Canna discolor
Tragopogon minor
Silene vulgaris
Brassica besseriana
Conyza bonariensis
Minuartia smejkalii
Podocarpus decipiens
Actaea aspleniifolia
Antirrhinum charidemi
Apocynum cervinum
Dolichos minimus
Elaeagnus cumingii
Peloria genistifolia
Kalomikta mandshurica
Hamamelis androgyna
Fiebera nodosa
Koeleria lobata
Agrostis javanica
Dammara bidwillii
Pandanus dotyi
Bromus rubens
Aristida coarctata
Knautia rupicola
Lolium asperum
Silene oleracea
Rosa villarsii
Sedum rubellum
Githago segetum
Mercurialis sylvestris
Filago alpestris
Quercus murbeckii
Xiphion ruthenicum
Cucumis flexuosus
Athamanta libanotis
Rapanea myrioides
Strombosia grandifolia
Pilosella tremipes
Eschscholzia pseudoinflata
Melandrium apetalum
Panicum macrochaetum
Gentiana frigida
Vignea rigida
Juncus ellmanii
Sigillaria angustifolia
Allium acutangulum
Alnus alnus
Camirium oleosum
Terminalia myrobalana
Festuca limosa
Hieracium integratum
Festuca ammophyla
Phragmites nagus
Aristida nigritiana
Acacia glandulosa
Melica persica
Cynodon nlemfuensis
Stenocalyx ruber
Anadelphia leptocoma
Lobelia filiformis
Acer purpureum
Atriplex verrucifera
Spodiopogon ciliaris
Mentha slichoviensis
Carex mollis
Buxus tenuifolia
Acetosella antucensis
Phillyrea lowei
Foeniculum divaricatum
Hemerocallis altissima
Cerastium semidecandrum
Sesleria uliginosa
Monosteria dichotoma
Holoschoenus globuliferus
Iria miliacea
Ranunculus vernus
Colchicum guadarramense
Vicia balansae
Schoenoplectus saximontanus
Festuca kitaibeliana
Betula rotundata
Adonis barthei
Virgulus ericoides
Asperula collina
Sauropus sumatranus
Mentha joffrei
Phleum gerardii
Androsace glacialis
Iria obtusifolia
Schismus ovalis
Agrostis villarsii
Brachylepis humilis
Betula extremiorientalis
Typha ehrenbergii
Carex smirnovii
Mariscus cariciformis
Magnolia conspicua
Mnemion sudeticum
Triticum multiflorum
Breynia nivosa
Euphorbia longibracteata
Bambos verticillata
Sigillaria multiflora
Colobachne brachystachyus
Anguinum victorialis
Asphodelus davei
Zeia richardsonii
Keraselma provinciale
Indigofera tinctoria
Scirpus parlatoris
Sideritis montana
Tephroseris subdentata
Cynodon leptochloides
Galega lanceaefolia
