canonical	gbif_match	gbif_full
Plumeria hypoleuca	Plumeria hypoleuca	Plumeria hypoleuca Gasp.
Plumeria inaguensis	Plumeria inaguensis	Plumeria inaguensis Britton
Plumeria jamaicensis	Plumeria jamaicensis	Plumeria jamaicensis Britton
Plumeria jamesonii	Plumeria jamesonii	Plumeria jamesonii Hook.
Plumeria loranthifolia	Plumeria loranthifolia	Plumeria loranthifolia Müll.Arg.
Plumeria lutea	Plumeria lutea	Plumeria lutea Ruiz & Pav.
Plumeria mariaelenae	Plumeria mariaelenae	Plumeria mariaelenae J.F.Gut. & J.Linares
Plumeria megaphylla	Plumeria megaphylla	Plumeria megaphylla A.DC.
Plumeria mexicana	Plumeria mexicana	Plumeria mexicana Lodd.
Plumeria mollis	Plumeria mollis	Plumeria mollis Kunth
Plumeria multiflora	Plumeria multiflora	Plumeria multiflora Standl.
Plumeria obtusa	Plumeria obtusa	Plumeria obtusa L.
Plumeria obtusa	Plumeria obtusa	Plumeria obtusa Lour., 1790
Plumeria obtusa var. obtusa	Plumeria obtusa var. obtusa	Plumeria obtusa var. obtusa
Plumeria obtusa var. sericifolia	Plumeria obtusa var. sericifolia	Plumeria obtusa var. sericifolia (C.Wright ex Griseb.) Woodson
Plumeria obtusa var. typica	Plumeria obtusa var. typica	Plumeria obtusa var. typica Woodson
Plumeria purpurea	Plumeria purpurea	Plumeria purpurea Ruiz & Pav.
Plumeria rubra	Plumeria rubra	Plumeria rubra L.
Plumeria rubra var. acuminata	Plumeria rubra var. acuminata	Plumeria rubra var. acuminata (W.T.Aiton) R.S.Rao & Balamani
Plumeria rubra var. acutifolia	Plumeria rubra var. acutifolia	Plumeria rubra var. acutifolia (Poir.) L.H.Bailey
Plumeria tricolor	Plumeria tricolor	Plumeria tricolor Ruiz & Pav.
Poa abbreviata	Poa abbreviata	Poa abbreviata R.Br.
Poa acmocalyx	Poa acmocalyx	Poa acmocalyx Keng f. & L.Liu
Poa acroleuca	Poa acroleuca	Poa acroleuca Steud.
Poa acroleuca var. acroleuca	Poa acroleuca var. acroleuca	Poa acroleuca var. acroleuca
Poa acroleuca var. ryukyuensis	Poa acroleuca var. ryukyuensis	Poa acroleuca var. ryukyuensis Koba & Tateoka
Poa acroleuca var. submoniliformis	Poa acroleuca var. submoniliformis	Poa acroleuca var. submoniliformis Makino
Poa aestivalis	Poa aestivalis	Poa aestivalis J.Presl
Poa agassizensis	Poa agassizensis	Poa agassizensis B.Boivin & D.Löve
Poa alpigena var. vivipara	Poa alpigena var. vivipara	Poa alpigena var. vivipara Hultén
Poa alpigena var. vivipara	Poa alpigena var. vivipara	Poa alpigena var. vivipara (Malmgren) Schol.
Poa alpina	Poa alpina	Poa alpina L.
Poa alpina subsp. alpina	Poa alpina subsp. alpina	Poa alpina subsp. alpina
Poa alpina subsp. atlantica	Poa alpina subsp. atlantica	Poa alpina subsp. atlantica (Trab.) Romo
Poa alpina subsp. fallax	Poa alpina subsp. fallax	Poa alpina subsp. fallax F.Herm.
Poa alpina subsp. insularis	Poa alpina subsp. insularis	Poa alpina subsp. insularis (Parl.) Hayek
Poa alpina subsp. vivipara	Poa alpina subsp. vivipara	Poa alpina subsp. vivipara (L.) Arcang.
Poa alpina subsp. vivipara	Poa alpina subsp. vivipara	Poa alpina subsp. vivipara (L.) Tzvelev
Poa alpina var. alpina	Poa alpina var. alpina	Poa alpina var. alpina
Poa alpina var. badensis	Poa alpina var. badensis	Poa alpina var. badensis (Haenke ex Willd.) Mert. & W.D.J.Koch
Poa alpina var. badensis	Poa alpina var. badensis	Poa alpina var. badensis (Haenke) Wallr., 1815
Poa alpina var. brevifolia	Poa alpina var. brevifolia	Poa alpina var. brevifolia (DC.) Godr.
Poa alpina var. brevifolia	Poa alpina var. brevifolia	Poa alpina var. brevifolia Gaudin
Poa alpina var. frigida	Poa alpina var. frigida	Poa alpina var. frigida (Gaudin) Salis
Poa alpina var. vivipara	Poa alpina var. vivipara	Poa alpina var. vivipara L.
Poa amabilis	Poa amabilis	Poa amabilis L.
Poa anadyrica	Poa anadyrica	Poa anadyrica Roshev.
Poa anceps	Poa anceps	Poa anceps Hegetschw.
Poa anceps	Poa anceps	Poa anceps G.Forst.
Poa angustifolia	Poa angustifolia	Poa angustifolia L.
Poa angustifolia	Poa angustifolia	Poa angustifolia Wahlenb.
Poa angustifolia subsp. angustifolia	Poa angustifolia subsp. angustifolia	Poa angustifolia subsp. angustifolia
Poa angustifolia subsp. brizoides	Poa angustifolia subsp. brizoides	Poa angustifolia subsp. brizoides K.Richt.
Poa angustiglumis	Poa angustiglumis	Poa angustiglumis Roshev.
Poa annua	Poa annua	Poa annua L.
Poa annua subsp. annua	Poa annua subsp. annua	Poa annua subsp. annua
Poa annua subsp. exilis	Poa annua subsp. exilis	Poa annua subsp. exilis (Tomm. ex Freyn.) Asch. & Graebn.
Poa annua subsp. notabilis	Poa annua subsp. notabilis	Poa annua subsp. notabilis Chrtek & V.Jirásek
Poa annua var. annua	Poa annua var. annua	Poa annua var. annua
Poa annua var. aquatica	Poa annua var. aquatica	Poa annua var. aquatica Asch.
Poa annua var. exilis	Poa annua var. exilis	Poa annua var. exilis Tomm.
Poa annua var. exilis	Poa annua var. exilis	Poa annua var. exilis Tomm. ex Freyn.
Poa annua var. pilantha	Poa annua var. pilantha	Poa annua var. pilantha Ronniger
Poa annua var. raniglumis	Poa annua var. raniglumis	Poa annua var. raniglumis S.E.Fröhner
Poa annua var. reptans	Poa annua var. reptans	Poa annua var. reptans Hausskn.
Poa annua var. rigidiuscula	Poa annua var. rigidiuscula	Poa annua var. rigidiuscula Dewey
Poa annua var. viridis	Poa annua var. viridis	Poa annua var. viridis Lej. & Court
Poa aperta	Poa aperta	Poa aperta Scribn. & Merr.
Poa aquatica	Poa aquatica	Poa aquatica L.
Poa arctica	Poa arctica	Poa arctica R.Br.
Poa arctica subsp. aperta	Poa arctica subsp. aperta	Poa arctica subsp. aperta (Scribn. & Merr.) Soreng
Poa arctica subsp. arctica	Poa arctica subsp. arctica	Poa arctica subsp. arctica
Poa arctica subsp. grayana	Poa arctica subsp. grayana	Poa arctica subsp. grayana (Vasey) Á.Löve, D.Löve & B.M.Kapoor
Poa arctica subsp. longiculmis	Poa arctica subsp. longiculmis	Poa arctica subsp. longiculmis Hultén
Poa arctica subsp. williamsii	Poa arctica subsp. williamsii	Poa arctica subsp. williamsii (Nash) Hultén
Poa arctica var. arctica	Poa arctica var. arctica	Poa arctica var. arctica
Poa arctica var. grayana	Poa arctica var. grayana	Poa arctica var. grayana (Vasey) Dorn
Poa arctica var. vivipara	Poa arctica var. vivipara	Poa arctica var. vivipara (Malmgren) Schol.
Poa arctica var. vivipara	Poa arctica var. vivipara	Poa arctica var. vivipara Hook.
Poa arctostepporum	Poa arctostepporum	Poa arctostepporum Jurtzev & N.S.Prob.
Poa attenuata	Poa attenuata	Poa attenuata Trin.
Poa attica	Poa attica	Poa attica Boiss. & Heldr.
Poa autumnalis	Poa autumnalis	Poa autumnalis Muhl. ex Elliott
Poa bactriana	Poa bactriana	Poa bactriana Roshev.
Poa badensis	Poa badensis	Poa badensis Haenke ex Willd.
Poa badensis	Poa badensis	Poa badensis Haenke
Poa badensis subsp. badensis	Poa badensis subsp. badensis	Poa badensis subsp. badensis
Poa badensis subsp. multiflora	Poa badensis subsp. multiflora	Poa badensis subsp. multiflora (Gaudin) Rivas Mart.
Poa badensis var. multiflora	Poa badensis var. multiflora	Poa badensis var. multiflora (Gaudin) Kerguélen
Poa balfourii	Poa balfourii	Poa balfourii Parn.
Poa bivonae	Poa bivonae	Poa bivonae Parl.
Poa boecheri	Poa boecheri	Poa boecheri Parodi
Poa brevifolia	Poa brevifolia	Poa brevifolia DC.
Poa brevifolia	Poa brevifolia	Poa brevifolia Muhl.
Poa brintnellii	Poa brintnellii	Poa brintnellii Raup
Poa brizoides	Poa brizoides	Poa brizoides L.f.
Poa bryophila	Poa bryophila	Poa bryophila Trin.
Poa bucharica	Poa bucharica	Poa bucharica Roshev.
Poa bucharica subsp. bucharica	Poa bucharica subsp. bucharica	Poa bucharica subsp. bucharica
Poa bulbosa	Poa bulbosa	Poa bulbosa L.
Poa bulbosa subsp. badensis	Poa bulbosa subsp. badensis	Poa bulbosa subsp. badensis (Haenke ex Willd.) Acht.
Poa bulbosa subsp. bulbosa	Poa bulbosa subsp. bulbosa	Poa bulbosa subsp. bulbosa
Poa bulbosa subsp. pseudoconcinna	Poa bulbosa subsp. pseudoconcinna	Poa bulbosa subsp. pseudoconcinna (Schur) Asch. & Graebn.
Poa bulbosa subsp. vivipara	Poa bulbosa subsp. vivipara	Poa bulbosa subsp. vivipara (Koeler) Arcang.
Poa bulbosa var. vivipara	Poa bulbosa var. vivipara	Poa bulbosa var. vivipara Koeler
Poa bulbosa var. vivipara	Poa bulbosa var. vivipara	Poa bulbosa var. vivipara Koch
Poa bulbosa var. vivipara	Poa bulbosa var. vivipara	Poa bulbosa var. vivipara Borkh., 1797
Poa caesia	Poa caesia	Poa caesia Sm.
Poa caespitosa	Poa caespitosa	Poa caespitosa G.Forst., 1786
Poa caespitosa	Poa caespitosa	Poa caespitosa Poir.
Poa caespitosa	Poa caespitosa	Poa caespitosa Spreng.
Poa callichroa	Poa callichroa	Poa callichroa Rydb.
Poa callida	Poa callida	Poa callida Rydb.
Poa capensis	Poa capensis	Poa capensis Steud.
Poa carniolica	Poa carniolica	Poa carniolica Hladn.
Poa carpatica subsp. supramontana	Poa carpatica subsp. supramontana	Poa carpatica subsp. supramontana Bernátová, Májovský, Kliment & Topercer
Poa catabrosodes	Poa catabrosodes	Poa catabrosodes K.Koch
Poa caucasica	Poa caucasica	Poa caucasica Trin.
Poa cenisia	Poa cenisia	Poa cenisia All.
Poa cenisia subsp. contracta	Poa cenisia subsp. contracta	Poa cenisia subsp. contracta Nyár.
Poa cenisia subsp. sardoa	Poa cenisia subsp. sardoa	Poa cenisia subsp. sardoa Em.Schmid
Poa cenisia var. cenisia	Poa cenisia var. cenisia	Poa cenisia var. cenisia
Poa cenisia var. fontqueri	Poa cenisia var. fontqueri	Poa cenisia var. fontqueri (Braun-Blanq.) Portal
Poa cephalonica	Poa cephalonica	Poa cephalonica H.Scholz
Poa chilensis	Poa chilensis	Poa chilensis Steud.
Poa chinensis	Poa chinensis	Poa chinensis L.
Poa compressa	Poa compressa	Poa compressa L.
Poa compressa var. expansa	Poa compressa var. expansa	Poa compressa var. expansa N.Böhling & H.Scholz
Poa compressa var. langeana	Poa compressa var. langeana	Poa compressa var. langeana (Rchb.) W.D.J.Koch
Poa compressa var. polynoda	Poa compressa var. polynoda	Poa compressa var. polynoda (Parnell) Asch. & Graebn.
Poa compressoformis	Poa compressoformis	Poa compressoformis Rouy
Poa cookii	Poa cookii	Poa cookii (Hook.f.) Hook.f.
Poa crassipes	Poa crassipes	Poa crassipes Domin
Poa crispa	Poa crispa	Poa crispa Thuill.
Poa cristata	Poa cristata	Poa cristata (L.) L.
Poa crocata	Poa crocata	Poa crocata Michx.
Poa dahurica	Poa dahurica	Poa dahurica Trin.
Poa debilis	Poa debilis	Poa debilis Torr.
Poa decumbens	Poa decumbens	Poa decumbens (L.) Scop.
Poa depauperata	Poa depauperata	Poa depauperata Kit. ex Spreng.
Poa distans	Poa distans	Poa distans Jacq.
Poa disticha	Poa disticha	Poa disticha Wulfen
Poa distichophylla	Poa distichophylla	Poa distichophylla Gaudin
Poa divaricata	Poa divaricata	Poa divaricata Gouan
Poa dolichachyra	Poa dolichachyra	Poa dolichachyra Keng ex Keng.f. & G.Q.Song
Poa effusa	Poa effusa	Poa effusa Kit.
Poa eigii	Poa eigii	Poa eigii Feinbrun
Poa elegans	Poa elegans	Poa elegans DC.
Poa eragrostis	Poa eragrostis	Poa eragrostis L.
Poa eragrostis	Poa eragrostis	Poa eragrostis (L.) Brot.
Poa erythropoda	Poa erythropoda	Poa erythropoda Klokov
Poa exilis	Poa exilis	Poa exilis (Tomm. ex Freyn.) Murb.
Poa exilis	Poa exilis	Poa exilis (Freyn) Murb. ex E.G.Camus, 1900
Poa eyerdamii	Poa eyerdamii	Poa eyerdamii Hultén
Poa fertilis	Poa fertilis	Poa fertilis Host
Poa filifolia	Poa filifolia	Poa filifolia Vasey
Poa flava	Poa flava	Poa flava L.
Poa flexuosa	Poa flexuosa	Poa flexuosa Sm.
Poa flexuosa	Poa flexuosa	Poa flexuosa Muhl.
Poa fluitans	Poa fluitans	Poa fluitans (L.) Scop.
Poa foliosa	Poa foliosa	Poa foliosa (Hook.f.) Hook.f.
Poa fontqueri	Poa fontqueri	Poa fontqueri Braun-Blanq.
Poa fulva	Poa fulva	Poa fulva Trin.
Poa ganeschinii	Poa ganeschinii	Poa ganeschinii Roshev.
Poa glabriflora	Poa glabriflora	Poa glabriflora Roshev.
Poa glauca	Poa glauca	Poa glauca Schkuhr
Poa glauca	Poa glauca	Poa glauca Clairv., 1811
Poa glauca	Poa glauca	Poa glauca Hegetschw. & Heer, 1839
Poa glauca	Poa glauca	Poa glauca Vahl
Poa glauca subsp. frearitis	Poa glauca subsp. frearitis	Poa glauca subsp. frearitis (Orph. ex Halácsy) H.Scholz
Poa glauca subsp. glauca	Poa glauca subsp. glauca	Poa glauca subsp. glauca
Poa glauca subsp. glaucantha	Poa glauca subsp. glaucantha	Poa glauca subsp. glaucantha (Schleich. ex Gaudin) Lindm.
Poa glauca subsp. kitadakensis	Poa glauca subsp. kitadakensis	Poa glauca subsp. kitadakensis (Ohwi) T.Koyama
Poa glauca subsp. litwinowiana	Poa glauca subsp. litwinowiana	Poa glauca subsp. litwinowiana (Ovcz.) Tzvelev
Poa glauca var. conferta	Poa glauca var. conferta	Poa glauca var. conferta (A.Blytt) Nannf.
Poa glauca var. glauca	Poa glauca var. glauca	Poa glauca var. glauca
Poa glauca var. pekulnejensis	Poa glauca var. pekulnejensis	Poa glauca var. pekulnejensis (Jurtzev & Tzvelev) Prob.
Poa grayana	Poa grayana	Poa grayana Vasey
Poa hamiltonii	Poa hamiltonii	Poa hamiltonii Kirk
Poa humilis	Poa humilis	Poa humilis (M.Bieb.) K.Koch
Poa humilis	Poa humilis	Poa humilis Ehrh.
Poa humilis	Poa humilis	Poa humilis Ehrh. ex Sm.
Poa humilis	Poa humilis	Poa humilis Ehrh. ex Hoffm.
Poa iberica	Poa iberica	Poa iberica Fisch., C.A.Mey. & Avé-Lall.
Poa imeretica	Poa imeretica	Poa imeretica Sommier & Levier
Poa incerta	Poa incerta	Poa incerta Keng f. ex L.Liu
Poa infirma	Poa infirma	Poa infirma Kunth
Poa insignis	Poa insignis	Poa insignis Litv.
Poa intermedia	Poa intermedia	Poa intermedia Buchanan
Poa intermedia	Poa intermedia	Poa intermedia Steud.
Poa kerguelensis	Poa kerguelensis	Poa kerguelensis (Hook.f.) Steud.
Poa koniensis	Poa koniensis	Poa koniensis Prob.
Poa laevis	Poa laevis	Poa laevis R.Br.
Poa langeana	Poa langeana	Poa langeana Rchb.
Poa lanuginosa	Poa lanuginosa	Poa lanuginosa Poir.
Poa lanuginosa var. lanuginosa	Poa lanuginosa var. lanuginosa	Poa lanuginosa var. lanuginosa
Poa lanuginosa var. neuquina	Poa lanuginosa var. neuquina	Poa lanuginosa var. neuquina (Nicora) Giussani & Soreng
Poa lanuginosa var. patagonica	Poa lanuginosa var. patagonica	Poa lanuginosa var. patagonica (Phil.) Giussani & Soreng
Poa lapponica	Poa lapponica	Poa lapponica Prokudin
Poa lapponica subsp. acmocalyx	Poa lapponica subsp. acmocalyx	Poa lapponica subsp. acmocalyx (Keng & L.Liu) Olonova & G.H.Zhu
Poa latifolia	Poa latifolia	Poa latifolia Phil.
Poa laxa subsp. flexuosa	Poa laxa subsp. flexuosa	Poa laxa subsp. flexuosa (Sm.) Hyl.
Poa laxa var. flexuosa	Poa laxa var. flexuosa	Poa laxa var. flexuosa (Sm.) Hartm.
Poa laxiuscula	Poa laxiuscula	Poa laxiuscula (Blytt) Lange
Poa litorosa	Poa litorosa	Poa litorosa Cheeseman
Poa litwinowiana	Poa litwinowiana	Poa litwinowiana Ovcz.
Poa macedonica	Poa macedonica	Poa macedonica
Poa media	Poa media	Poa media Schur
Poa media	Poa media	Poa media (L.) Cav.
Poa megastachya	Poa megastachya	Poa megastachya Koeler
Poa mexicana	Poa mexicana	Poa mexicana Link
Poa minor	Poa minor	Poa minor Gaudin
Poa minor	Poa minor	Poa minor Salzm. ex Trin.
Poa montana	Poa montana	Poa montana Vasey
Poa nascopieana	Poa nascopieana	Poa nascopieana Polunin
Poa nemoralis	Poa nemoralis	Poa nemoralis L.
Poa nemoralis subsp. balbisii	Poa nemoralis subsp. balbisii	Poa nemoralis subsp. balbisii (Balb.) Hack.
Poa nemoralis subsp. firmula	Poa nemoralis subsp. firmula	Poa nemoralis subsp. firmula (Gaudin) Schübl. & G.Martens, 1834
Poa nemoralis subsp. glauca	Poa nemoralis subsp. glauca	Poa nemoralis subsp. glauca (Vahl) Gaudin
Poa nemoralis subsp. lapponica	Poa nemoralis subsp. lapponica	Poa nemoralis subsp. lapponica (Prokudin) Tzvelev
Poa nemoralis subsp. nemoralis	Poa nemoralis subsp. nemoralis	Poa nemoralis subsp. nemoralis
Poa nemoralis var. agrostoides	Poa nemoralis var. agrostoides	Poa nemoralis var. agrostoides Asch. & Graebn.
Poa nemoralis var. balbisii	Poa nemoralis var. balbisii	Poa nemoralis var. balbisii (Parl.) Fiori
Poa nemoralis var. coarctata	Poa nemoralis var. coarctata	Poa nemoralis var. coarctata Gaudin
Poa nemoralis var. firmula	Poa nemoralis var. firmula	Poa nemoralis var. firmula Gaudin
Poa nemoralis var. glauca	Poa nemoralis var. glauca	Poa nemoralis var. glauca (Vahl) Gaudin
Poa nemoralis var. glaucantha	Poa nemoralis var. glaucantha	Poa nemoralis var. glaucantha (Schleich. ex Gaudin) Rchb.
Poa nemoralis var. montana	Poa nemoralis var. montana	Poa nemoralis var. montana Gaudin
Poa nemoralis var. nemoralis	Poa nemoralis var. nemoralis	Poa nemoralis var. nemoralis
Poa nemoralis var. parca	Poa nemoralis var. parca	Poa nemoralis var. parca N.R.Cui
Poa nemoralis var. polyclada	Poa nemoralis var. polyclada	Poa nemoralis var. polyclada Portal & Loiseau
Poa nemoralis var. rigidula	Poa nemoralis var. rigidula	Poa nemoralis var. rigidula Mert. & W.D.J.Koch
Poa nemoralis var. tenella	Poa nemoralis var. tenella	Poa nemoralis var. tenella Rchb.
Poa nemoralis var. vulgaris	Poa nemoralis var. vulgaris	Poa nemoralis var. vulgaris Gaudin
Poa nuttalliana	Poa nuttalliana	Poa nuttalliana Schult.
Poa obtusa	Poa obtusa	Poa obtusa Muhl.
Poa ochotensis	Poa ochotensis	Poa ochotensis Trin.
Poa oligeria	Poa oligeria	Poa oligeria Steud.
Poa ophiolithica	Poa ophiolithica	Poa ophiolithica H.Scholz
Poa orinosa	Poa orinosa	Poa orinosa Keng f.
Poa pachyantha	Poa pachyantha	Poa pachyantha Keng f. ex Shan Chen
Poa pallens	Poa pallens	Poa pallens Poir.
Poa pallescens	Poa pallescens	Poa pallescens W.D.J.Koch
Poa palustris	Poa palustris	Poa palustris Wohll.
Poa palustris	Poa palustris	Poa palustris L.
Poa palustris var. depauperata	Poa palustris var. depauperata	Poa palustris var. depauperata (Kit. ex Spreng.) Asch. & Graebn.
Poa palustris var. effusa	Poa palustris var. effusa	Poa palustris var. effusa (Kit.) Asch. & Graebn.
Poa palustris var. fertilis	Poa palustris var. fertilis	Poa palustris var. fertilis (Host) Asch. & Graebn.
Poa paratunkensis	Poa paratunkensis	Poa paratunkensis Kom.
Poa parnassica	Poa parnassica	Poa parnassica Boiss. & Heldr.
Poa parnellii	Poa parnellii	Poa parnellii Bab.
Poa pectinacea	Poa pectinacea	Poa pectinacea Michx.
Poa pekulnejensis	Poa pekulnejensis	Poa pekulnejensis Jurtzev & Tzvelev
Poa perligularis	Poa perligularis	Poa perligularis H.Scholz
Poa phoenicea	Poa phoenicea	Poa phoenicea Rydb.
Poa pilipes	Poa pilipes	Poa pilipes Keng f. ex Shan Chen
Poa pilosa	Poa pilosa	Poa pilosa L.
Poa polonica	Poa polonica	Poa polonica Blocki
Poa polynoda	Poa polynoda	Poa polynoda Parn.
Poa polynoda var. denticulata	Poa polynoda var. denticulata	Poa polynoda var. denticulata Parn.
Poa pratensis	Poa pratensis	Poa pratensis All., 1785
Poa pratensis	Poa pratensis	Poa pratensis L.
Poa pratensis subsp. agassizensis	Poa pratensis subsp. agassizensis	Poa pratensis subsp. agassizensis (B.Boivin & D.Löve) Roy L.Taylor & MacBryde
Poa pratensis subsp. angustifolia	Poa pratensis subsp. angustifolia	Poa pratensis subsp. angustifolia (L.) Arcang.
Poa pratensis subsp. angustifolia	Poa pratensis subsp. angustifolia	Poa pratensis subsp. angustifolia (L.) Dumort.
Poa pratensis subsp. angustifolia	Poa pratensis subsp. angustifolia	Poa pratensis subsp. angustifolia (L.) Schübl. & G.Martens, 1834
Poa pratensis subsp. angustifolia	Poa pratensis subsp. angustifolia	Poa pratensis subsp. angustifolia (L.) Lej.
Poa pratensis subsp. angustifolia	Poa pratensis subsp. angustifolia	Poa pratensis subsp. angustifolia (L.) H.Lindb.
Poa pratensis subsp. angustifolia	Poa pratensis subsp. angustifolia	Poa pratensis subsp. angustifolia (L.) Gaudin
Poa pratensis subsp. attica	Poa pratensis subsp. attica	Poa pratensis subsp. attica (Boiss. & Heldr.) Rech.f.
Poa pratensis subsp. dolichophylla	Poa pratensis subsp. dolichophylla	Poa pratensis subsp. dolichophylla (Hack.) Portal
Poa pratensis subsp. jordanii	Poa pratensis subsp. jordanii	Poa pratensis subsp. jordanii Portal
Poa pratensis subsp. pratensis	Poa pratensis subsp. pratensis	Poa pratensis subsp. pratensis
Poa pratensis subsp. rigens	Poa pratensis subsp. rigens	Poa pratensis subsp. rigens (Hartm.) Tzvelev
Poa pratensis subsp. strigosa	Poa pratensis subsp. strigosa	Poa pratensis subsp. strigosa (Hoffm.) Gaudin
Poa pratensis var. anceps	Poa pratensis var. anceps	Poa pratensis var. anceps Gaudin
Poa pratensis var. angustifolia	Poa pratensis var. angustifolia	Poa pratensis var. angustifolia (Linnaeus) Lejeune
Poa pratensis var. angustifolia	Poa pratensis var. angustifolia	Poa pratensis var. angustifolia (L.) Gaudin
Poa pratensis var. angustifolia	Poa pratensis var. angustifolia	Poa pratensis var. angustifolia (L.) Sm.
Poa pratensis var. arenaria	Poa pratensis var. arenaria	Poa pratensis var. arenaria Parn.
Poa pratensis var. collina	Poa pratensis var. collina	Poa pratensis var. collina Schur
Poa pratensis var. costata	Poa pratensis var. costata	Poa pratensis var. costata (Schumach.) Fr.
Poa pratensis var. dolichophylla	Poa pratensis var. dolichophylla	Poa pratensis var. dolichophylla Hack.
Poa pratensis var. domestica	Poa pratensis var. domestica	Poa pratensis var. domestica Laest.
Poa pratensis var. filifolia	Poa pratensis var. filifolia	Poa pratensis var. filifolia Schur
Poa pratensis var. macounii	Poa pratensis var. macounii	Poa pratensis var. macounii B.Boivin
Poa pratensis var. planiculmis	Poa pratensis var. planiculmis	Poa pratensis var. planiculmis Parn.
Poa pratensis var. pratensis	Poa pratensis var. pratensis	Poa pratensis var. pratensis
Poa pratensis var. strigosa	Poa pratensis var. strigosa	Poa pratensis var. strigosa (Hoffm.) Gaudin
Poa pratensis var. vivipara	Poa pratensis var. vivipara	Poa pratensis var. vivipara (Malmgren) Schol.
Poa pratensis var. vivipara	Poa pratensis var. vivipara	Poa pratensis var. vivipara (Malmgren) B.Boivin
Poa prolifera	Poa prolifera	Poa prolifera F.W.Schmidt
Poa pseudoconcinna	Poa pseudoconcinna	Poa pseudoconcinna Schur
Poa pseudonemoralis	Poa pseudonemoralis	Poa pseudonemoralis Schur
Poa pseudopratensis	Poa pseudopratensis	Poa pseudopratensis Scribn. & Rydb.
Poa psychrophila	Poa psychrophila	Poa psychrophila Boiss. & Heldr.
Poa puberula	Poa puberula	Poa puberula Steud.
Poa pulchella	Poa pulchella	Poa pulchella Vasey
Poa rariflora	Poa rariflora	Poa rariflora Desf.
Poa relaxa	Poa relaxa	Poa relaxa Ovcz.
Poa remota	Poa remota	Poa remota Forselles
Poa remota	Poa remota	Poa remota Hartm., 1832
Poa reuteriana	Poa reuteriana	Poa reuteriana Boiss. & Buhse
Poa reverdattoi	Poa reverdattoi	Poa reverdattoi Roshev.
Poa rigens	Poa rigens	Poa rigens Hartm.
Poa rigida	Poa rigida	Poa rigida L.
Poa rigida	Poa rigida	Poa rigida Huds., 1762
Poa rotundata	Poa rotundata	Poa rotundata Trin.
Poa sabulosa	Poa sabulosa	Poa sabulosa Turcz. ex Regel
Poa sabulosa	Poa sabulosa	Poa sabulosa Turcz. ex Roshev.
Poa scabra	Poa scabra	Poa scabra Asch.
Poa scabra	Poa scabra	Poa scabra Kit.
Poa scabra	Poa scabra	Poa scabra Kit. ex Steud.
Poa schoenites	Poa schoenites	Poa schoenites Keng f. ex L.Liu
Poa scopulorum	Poa scopulorum	Poa scopulorum Butters & Abbe
Poa sergievskajae	Poa sergievskajae	Poa sergievskajae Prob.
Poa serotina	Poa serotina	Poa serotina Ehrh. ex Koeler, 1802
Poa serotina	Poa serotina	Poa serotina Ehrh. ex Hoffm.
Poa serotina	Poa serotina	Poa serotina Ehrh.
Poa sibirica	Poa sibirica	Poa sibirica Roshev.
Poa sibirica subsp. sibirica	Poa sibirica subsp. sibirica	Poa sibirica subsp. sibirica
Poa sibirica subsp. uralensis	Poa sibirica subsp. uralensis	Poa sibirica subsp. uralensis Tzvelev
Poa sinaica	Poa sinaica	Poa sinaica Steud.
Poa sinaica var. vivipara	Poa sinaica var. vivipara	Poa sinaica var. vivipara Täckh.
Poa sobolevskiana	Poa sobolevskiana	Poa sobolevskiana Gudoschn.
Poa sphondylodes	Poa sphondylodes	Poa sphondylodes Trin.
Poa sphondylodes var. erikssonii	Poa sphondylodes var. erikssonii	Poa sphondylodes var. erikssonii Melderis
Poa sphondylodes var. kelungensis	Poa sphondylodes var. kelungensis	Poa sphondylodes var. kelungensis (Ohwi) Ohwi
Poa stenachyra	Poa stenachyra	Poa stenachyra Keng ex L.Liu, 2002
Poa stenachyra	Poa stenachyra	Poa stenachyra Keng ex Keng f. & G.Q.Song
Poa stepposa	Poa stepposa	Poa stepposa (Krylov) Roshev.
Poa stereophylla	Poa stereophylla	Poa stereophylla Keng f. ex L.Liu
Poa stiriaca	Poa stiriaca	Poa stiriaca Fritsch & Hayek
Poa stolonifera	Poa stolonifera	Poa stolonifera Bellardi
Poa strigosa	Poa strigosa	Poa strigosa Hoffm.
Poa subcompressa	Poa subcompressa	Poa subcompressa Parn.
Poa suruana	Poa suruana	Poa suruana H.Hartmann
Poa sylvatica	Poa sylvatica	Poa sylvatica Pollich
Poa sylvatica	Poa sylvatica	Poa sylvatica Chaix
Poa sylvicola	Poa sylvicola	Poa sylvicola Guss.
Poa taiwanicola	Poa taiwanicola	Poa taiwanicola Ohwi
Poa tormentuosa	Poa tormentuosa	Poa tormentuosa Butters & Abbe
Poa trachyphylla	Poa trachyphylla	Poa trachyphylla Pilg.
Poa transbaicalica	Poa transbaicalica	Poa transbaicalica Roshev.
Poa tricholepis	Poa tricholepis	Poa tricholepis Rydb.
Poa triflora	Poa triflora	Poa triflora Gilib.
Poa trivialis	Poa trivialis	Poa trivialis L.
Poa trivialis subsp. feratiana	Poa trivialis subsp. feratiana	Poa trivialis subsp. feratiana (Boiss. & Reut.) A.M.Hern.
Poa trivialis subsp. feratiana	Poa trivialis subsp. feratiana	Poa trivialis subsp. feratiana (Boiss. & Reut.) Cardona
