canonical	gbif_match	gbif_full
Indigofera stenophylha	Indigofera stenophylla	Indigofera stenophylla Guill. & Perr.
Magnolia soulangeana	Magnolia soulangiana	Magnolia ×soulangiana Soul.-Bod.
Mimosa bimucronata	Mimosa bimucrunata	Mimosa bimucrunata
Pedicularis willdenowii	Pedicularis willdenovii	Pedicularis willdenovii Vved.
Phleum roshevitzii	Phleum roshevitsii	Phleum roshevitsii Pavlov, 1932
Pseuderanthemum palatiferum	Pseuderanthemum palatiferus	Pseuderanthemum palatiferus (Wall.) Radlk. ex Lindau
Ranunculus monophyllus	Ranunculus monophyllos	Ranunculus monophyllos Ovcz.
Triticum aestivum var. dicoccon	Triticum aestivum var. dicoccum	Triticum aestivum var. dicoccum (Schrank ex Schübl.) Fiori
Cerastium cerastoides	Cerastium cerastioides	Cerastium cerastioides (L.) Britton
Limniris pseudoacorus	Limniris pseudacorus	Limniris pseudacorus (L.) Fuss
Salvia horminioides	Salvia horminoides	Salvia horminoides Pouret
Senecio crepidioides	Senecio crepidoides	Senecio crepidoides Phil.
Sieglingia seslerioides	Sieglingia sesleroides	Sieglingia sesleroides (Michx.) Scribn.
Sigesbeckia melanolepsis	Sigesbeckia melanolepis	Sigesbeckia melanolepis Sch.Bip.
Stellaria cerastoides	Stellaria cerastioides	Stellaria cerastioides L.
Tridens seslerioides	Tridens sesleroides	Tridens sesleroides Nash
Epilobium palustre var. lavandulifolium	Epilobium palustre var. lavandulaefolium	Epilobium palustre var. lavandulaefolium Lecoq & Lamotte
Spiraea japonica var. ovatifolia	Spiraea japonica var. ovalifolia	Spiraea japonica var. ovalifolia Franch.
Myosotis scorpioides subsp. caespitosa	Myosotis scorpioides subsp. caespititia	Myosotis scorpioides subsp. caespititia (DC.) E.Baumann
Astragalus glycyphyllos	Astragalus glycyphyllus	Astragalus glycyphyllus L.
Carex rostrata var. utriculata	Carex rostrata var. utriculosa	Carex rostrata var. utriculosa
Elymus trachycaulus	Elymus trachycaulis	Elymus trachycaulis (Link) Gould
Epilobium alsinifolium	Epilobium alsinigolium	Epilobium alsinigolium
Eriostemon salicifollus	Eriostemon salicifolius	Eriostemon salicifolius Sm.
Hordeum vulgare var. hexastichum	Hordeum vulgare var. hexastichon	Hordeum vulgare var. hexastichon (L.) Asch.
Hordeum vulgare var. hexastichum	Hordeum vulgare var. hexastichon	Hordeum vulgare var. hexastichon Linnaeus, 1753
Juncus polycephalus	Juncus polycephalos	Juncus polycephalos Michx., 1803
Oncosiphon grandiflorus	Oncosiphon grandiflorum	Oncosiphon grandiflorum (Thunb.) Källersjö
Ranunculus polyanthemos	Ranunculus polyanthemus	Ranunculus polyanthemus L.
Solanum polyacanthos	Solanum polyacanthon	Solanum polyacanthon Lam.
Triticum turgidum subsp. dicoccon	Triticum turgidum subsp. dicoccum	Triticum turgidum subsp. dicoccum (Schrank ex Schübl.) Thell.
Urera sandwicensis	Urera sandvicensis	Urera sandvicensis Wedd.
Vulpia pseudomyurus	Vulpia pseudomyuros	Vulpia pseudomyuros (Soy.-Will.) Rchb.
Rhynchospora puber	Rhynchospora pubera	Rhynchospora pubera (Vahl) Boeckeler
Solanum sciaphilum	Solanum sciadophilum	Solanum sciadophilum Bitter
Trema micranthum var. obtusatum	Trema micrantha var. obtusatum	Trema micrantha var. obtusatum Urb.
Pinus contorta subsp. murrayana	Pinus contorta subsp. murreyana	Pinus contorta subsp. murreyana
Triticum sativum var. vulgare	Triticum aestivum var. vulgare	Triticum aestivum var. vulgare (Villars) Vilmorin
Colobanthus lycopodioides	Colobanthus lycopodoides	Colobanthus lycopodoides Griseb.
Tabernaemontana catharinensis	Tabernaemontana cathariensis	Tabernaemontana cathariensis A.DC., 1844
Atriplex rosea subsp. terraconensis	Atriplex rosea subsp. tarraconensis	Atriplex rosea subsp. tarraconensis (Sennen) O.Bolòs & Vigo
Helianthemum canum subsp. incanum	Helianthemum canum subsp. canum	Helianthemum canum subsp. canum
Asperula danilewskiana	Asperula danilevskiana	Asperula danilevskiana Basiner, 1844
Astragalus turczaninowii	Astragalus turczaninovii	Astragalus turczaninovii Kar. & Kir.
Galium chamaeaparina	Galium chamaeaparine	Galium chamaeaparine Willk. & Costa
Hordeum vulgare subsp. hexastichon	Hordeum vulgare subsp. hexastichum	Hordeum vulgare subsp. hexastichum (L.) Bonnier & Layens, 1894
Lonicera turczaninowii	Lonicera turczaninovii	Lonicera turczaninovii Pojark.
Silene pseudo-otites	Silene pseudotites	Silene pseudotites Besser ex Rchb.
Scutellaria scordifolia	Scutellaria cordifolia	Scutellaria cordifolia Muhl.
Spiraea xvanhouttei	Spiraea vanhouttei	Spiraea ×vanhouttei (Briot) Zabel
Spiraea xvanhouttei	Spiraea vanhouttei	Spiraea ×vanhouttei (Briot) Carrière
Achillea millefolium var. lanulosa	Achillea millefolium var. lanuginosa	Achillea millefolium var. lanuginosa Gaudin, 1829
Salix hallisanensis	Salix hallaisanensis	Salix hallaisanensis H.Lév.
Tetragonia tetragonioides	Tetragonia tetragonoides	Tetragonia tetragonoides (Pall.) Kuntze
Aira edouardii	Aira eduardii	Aira eduardii Reut. ex Duval-Jouve, 1865
Oreodaphne martiniana var. opaca	Oreodaphne martiana var. opaca	Oreodaphne martiana var. opaca Meisn.
Lolium rigidum var. rottboellioides	Lolium rigidum var. rottbollioides	Lolium rigidum var. rottbollioides Heldr. ex Boiss.
Sida cordifolia var. altheifolia	Sida cordifolia var. althaeifolia	Sida cordifolia var. althaeifolia (Sw.) M.Gómez
Dupontia fisheri	Dupontia fischeri	Dupontia fischeri R.Br.
Dupontia fisheri	Dupontia fischeri	Dupontia fischeri Nees
Syringa josikaea	Syringa joskiaea	Syringa joskiaea
Cephalotaxus harringtonii var. wilsoniana	Cephalotaxus harringtonia var. wilsoniana	Cephalotaxus harringtonia var. wilsoniana (Hayata) Kitam.
Albizia lebbeck	Albizia lebbek	Albizia lebbek
Carex pairae	Carex pairaei	Carex pairaei F.W.Schultz
Cornus suecica	Cornus suecia	Cornus suecia L.
Geum rivale	Geum rivaled	Geum rivaled
Plantago compressiscapa	Plantago compressicarpa	Plantago compressicarpa Opiz & Bercht., 1838
Polygala lensei	Polygala lensaei	Polygala lensaei Boreau, 1863
Dorycnium hirsutum var. hirtum	Dorycnium hirsutum var. hirsutum	Dorycnium hirsutum var. hirsutum
Helianthus annuus lenticularis	Helianthus annuus f. lenticularis	Helianthus annuus f. lenticularis (Douglas ex Lindl.) B.Boivin
Solanum dulcamara littorale	Solanum dulcamara f. littorale	Solanum dulcamara f. littorale Raab
Acaena novae-zelandiae	Acaena novae-zelandica	Acaena novae-zelandica Kirk
Persea drimyfolia	Persea drymifolia	Persea drymifolia Cham. & Schltdl.
Hamamelis virginiana var. henryae	Hamamelis virginiana var. henryi	Hamamelis virginiana var. henryi Jenne
Hordeum vulgare var. subnudipiramidatum	Hordeum vulgare var. subnudipyramidatum	Hordeum vulgare var. subnudipyramidatum Orlov
Festuca ovina subsp. firmulacea	Festuca ovina subsp. firmula	Festuca ovina subsp. firmula (Hack.) K.Richt.
Veronica pettersii	Veronica petersii	Veronica petersii Opiz
Centaurea stoebe subsp. micranthos	Centaurea stoebe subsp. micrantha	Centaurea stoebe subsp. micrantha
Bidens sandvicensis subsp. sandvicensis	Bidens sandwicensis subsp. sandwicensis	Bidens sandwicensis subsp. sandwicensis
Coleus pumilius	Coleus pumilus	Coleus pumilus Blanco
Datura stramonium stramonium	Datura stramonium f. stramonium	Datura stramonium f. stramonium
Geranium lucidum	Geranium lucidium	Geranium lucidium L.
Hydrosme rivieri	Hydrosme rivierei	Hydrosme rivierei (Durand ex Carrière) Engl.
Lemna trisulca	Lemna triscula	Lemna triscula L.
Lippia berteroi	Lippia berteri	Lippia berteri Spreng.
Quercus pseudoaegilops	Quercus pseudoaegilopsis	Quercus pseudoaegilopsis G.Kirchn.
Rhipsalis cassytha	Rhipsalis cassyta	Rhipsalis cassyta Gaertn.
Syringa josikaea	Syringa josikae	Syringa josikae J.Jacq. ex Rchb.
Allium atrorubens var. inyonis	Allium atrorubens var. inyoensis	Allium atrorubens var. inyoensis (M.E.Jones) Ownbey & Aase
Festuca pratensis subsp. apennina	Festuca pratensis subsp. appenina	Festuca pratensis subsp. appenina (De Not.) Hegi
Potentilla argentea subsp. argentata	Potentilla argentea subsp. argentea	Potentilla argentea subsp. argentea
Ranunculus ficaria subsp. bulbilifer	Ranunculus ficaria subsp. bulbifera	Ranunculus ficaria subsp. bulbifera (Marsden-Jones) Lawalrée
Polygala amarella subsp. austriaca	Polygala amara subsp. austriaca	Polygala amara subsp. austriaca (Crantz) Nyman, 1878
Ziziphus mauritiana var. muratiana	Ziziphus mauritiana var. mauritiana	Ziziphus mauritiana var. mauritiana
Bupleurum longeinvolucratum	Bupleurum longiinvolucratum	Bupleurum longiinvolucratum Krylov
Archangelica littoralis	Archangelica litoralis	Archangelica litoralis (Fr.) C.Agardh ex DC.
Archangelica littoralis	Archangelica litoralis	Archangelica litoralis Agardh
Carex lanuginosa	Carex languinosa	Carex languinosa Michx.
Hydrocotyle pleiantha	Hydrocotyle plesiantha	Hydrocotyle plesiantha Ces., 1837
Mentha littoralis	Mentha litoralis	Mentha litoralis (Hartm.) Neuman
Aegonychon purpurea-coeruleum	Aegonychon purpureocaeruleum	Aegonychon purpureocaeruleum (L.) Holub
Melaleuca viridiflora var. rubriflora	Melaleuca viridiflora var. rubiflora	Melaleuca viridiflora var. rubiflora Brongn. & Gris
Elytrigia repens subsp. longiaristata	Elytrigia repens subsp. longearistata	Elytrigia repens subsp. longearistata N.R.Cui, 1996
Setaria pumila subsp. pallidifusca	Setaria pumila subsp. pallide-fusca	Setaria pumila subsp. pallide-fusca (Schumach.) B.K.Simon
Sporobolus cryptandrus var. fuscicolor	Sporobolus cryptandrus var. fuscicola	Sporobolus cryptandrus var. fuscicola (Hook.) R.W.Pohl
Amorpha curtissii	Amorpha curtisii	Amorpha curtisii Rydb.
Arceuthos drupaceae	Arceuthos drupacea	Arceuthos drupacea (Labill.) Antoine & Kotschy
Avena fatua var. hubrida	Avena fatua var. hybrida	Avena fatua var. hybrida (Rchb.) Asch.
Dorycnium hirsutum	Dorycnium hirsuitum	Dorycnium hirsuitum
Leersia oryzoides	Leersia oryziodes	Leersia oryziodes
Potentilla clementi	Potentilla clementei	Potentilla clementei Jord.
Pyrethrum tanaceum	Pyrethrum tanacetum	Pyrethrum tanacetum DC.
Sempervivum tectorum	Sempervivum tectorium	Sempervivum tectorium Dulac, 1867
Setaria viridis var. major	Setaria viridis var. maior	Setaria viridis var. maior (Gaudin) Peterm.
Veronica reyesana	Veronica reyesiana	Veronica reyesiana Pau & Merino, 1906
