dlist,elist,genus_jw,se_jw,gender_switch
Acacia constricta,Acacia constricta,1.0,1.0,False
Acacia myrtifolia,Acacia myrtifolia,1.0,1.0,False
Acacia pruinosa,Acacia pruinosa,1.0,1.0,False
Acacia schweinfurthii,Acacia schweinfurthii,1.0,1.0,False
Acacia bidwillii,Acacia bidwillii,1.0,1.0,False
Acacia arenaria,Acacia arenaria,1.0,1.0,False
Acacia reficiens,Acacia reficiens,1.0,1.0,False
Acacia aulacophylla,Acacia malacophylla,1.0,0.944444444444,False
Acacia rosei,Acacia rossei,1.0,0.961111111111,False
Acacia oswaldii,Acacia oswaldii,1.0,1.0,False
Acacia montigena,Acacia montigena,1.0,1.0,False
Acacia mayana,Acacia mayana,1.0,1.0,False
Acacia cangaiensis,Acacia cangaiensis,1.0,1.0,False
Acacia xanthophloea,Acacia xanthophloea,1.0,1.0,False
Acacia ramulosa,Acacia ramulosa,1.0,1.0,False
Acacia swazica,Acacia swazica,1.0,1.0,False
Acacia chundra,Acacia chundra,1.0,1.0,False
Acacia picachensis,Acacia picachensis,1.0,1.0,False
Acacia citrinoviridis,Acacia citrinoviridis,1.0,1.0,False
Acacia obtusifolia,Acacia obtusifolia,1.0,1.0,False
Acacia derwentiana,Acacia derwentii,1.0,0.974410774411,False
Acacia ciliolata,Acacia ciliata,1.0,0.955555555556,False
Acacia suaveolens,Acacia suaveolens,1.0,1.0,False
Acacia anegadensis,Acacia anegadensis,1.0,1.0,False
Acacia spectabilis,Acacia spectabilis,1.0,1.0,False
Acacia calcicola,Acacia calcicola,1.0,1.0,False
Acacia heterophylla,Acacia heterophylla,1.0,1.0,False
Acacia acradenia,Acacia acradenia,1.0,1.0,False
Acacia bivenosa,Acacia bivenosa,1.0,1.0,False
Acacia fagonioides,Acacia fagonioides,1.0,1.0,False
Acacia siculiformis,Acacia siculiformis,1.0,1.0,False
Acacia hockii,Acacia hockii,1.0,1.0,False
Acacia amputata,Acacia amputata,1.0,1.0,False
Acacia daviesioides,Acacia daviesioides,1.0,1.0,False
Acacia gerrardii,Acacia gerrardii,1.0,1.0,False
Acacia storyi,Acacia storyi,1.0,1.0,False
Acacia gaumeri,Acacia gaumeri,1.0,1.0,False
Acacia muelleriana,Acacia muelleriana,1.0,1.0,False
Acacia cultriformis,Acacia cultriformis,1.0,1.0,False
Acacia tenuior,Acacia tenuiflora,1.0,0.95,False
Acacia pentadenia,Acacia pentadenia,1.0,1.0,False
