"gbif","myco","genus_jw","se_jw","gswitch","bothtpl","suspect","remove","manual.remove"
"Rubus tomentaceus","Rubus tomentellus",1,0.9515151515,"False","FALSE","TRUE","FALSE",1
"Carlina frigida","Carlina rigida",1,0.9523809524,"False","FALSE","TRUE","FALSE",1
"Citrus limonia","Citrus limon",1,0.9523809524,"False","FALSE","TRUE","FALSE",1
"Euphrasia rigida","Euphrasia frigida",1,0.9523809524,"False","FALSE","TRUE","FALSE",1
"Fragaria vescana","Fragaria vesca",1,0.9523809524,"False","FALSE","TRUE","FALSE",1
"Juncus latior","Juncus elatior",1,0.9523809524,"False","FALSE","TRUE","FALSE",1
"Myosotis rigida","Myosotis frigida",1,0.9523809524,"False","FALSE","TRUE","FALSE",1
"Potentilla opacata","Potentilla opaca",1,0.9523809524,"False","FALSE","TRUE","FALSE",1
"Silene barbara","Silene barbata",1,0.9523809524,"False","FALSE","TRUE","FALSE",1
"Spiraea roseata","Spiraea rosea",1,0.9523809524,"False","FALSE","TRUE","FALSE",1
"Carex caespititia","Carex caespitosa",1,0.9527272727,"False","FALSE","TRUE","FALSE",1
"Rosa rubiginella","Rosa rubiginosa",1,0.9527272727,"False","FALSE","TRUE","FALSE",1
"Salix leucophora","Salix leucophylla",1,0.9527272727,"False","FALSE","TRUE","FALSE",1
"Eragrostis ciliarensis","Eragrostis cilianensis",1,0.953030303,"False","FALSE","TRUE","FALSE",1
"Bupleurum prostratum","Bupleurum protractum",1,0.9533333333,"False","FALSE","TRUE","FALSE",1
"Cyperus prostratus","Cyperus protractus",1,0.9533333333,"False","FALSE","TRUE","FALSE",1
"Hieracium paralium","Hieracium pardalinum",1,0.9533333333,"False","FALSE","TRUE","FALSE",1
"Rubus albomicans","Rubus albicans",1,0.9533333333,"False","FALSE","TRUE","FALSE",1
"Spiraea flabellata","Spiraea flagellata",1,0.9533333333,"False","FALSE","TRUE","FALSE",1
"Cerasus fruticans","Cerasus fruticosa",1,0.9537037037,"False","FALSE","TRUE","FALSE",1
"Gentiana purpurata","Gentiana purpurea",1,0.9537037037,"False","FALSE","TRUE","FALSE",1
"Rumex paluster","Rumex palustris",1,0.9537037037,"False","FALSE","TRUE","FALSE",1
"Veronica fruticosa","Veronica fruticans",1,0.9537037037,"False","FALSE","TRUE","FALSE",1
"Doronicum bellidiflorum","Doronicum bellidiastrum",1,0.9538461538,"False","FALSE","TRUE","FALSE",1
"Rosa guttensteinensis","Rosa gutensteinensis",1,0.9543055556,"False","FALSE","TRUE","FALSE",1
"Galium sternbergii","Galium sterneri",1,0.9545454545,"False","FALSE","TRUE","FALSE",1
