dlist,elist,genus_jw,se_jw,gender_switch
Cynophalla verrucosa,Cynophalla verrucosa,1.0,1.0,False
Cyperus prostratus,Cyperus protractus,1.0,0.953333333333,False
Cystopteris sikkimensis,Cystopteris sikkimensis,1.0,1.0,False
Damnacanthus macrophylla,Damnacanthus macrophyllus,1.0,1.0,True
Daphne sophia,Daphne sophia,1.0,1.0,False
Datura cornucopia,Datura cornucopia,1.0,1.0,False
Deilosma niveum,Deilosma niveum,1.0,1.0,False
Delphinium pauperculum,Delphinium pauperculum,1.0,1.0,False
Delphinium cerefolium,Delphinium cerefolium,1.0,1.0,False
Delphinium elegans,Delphinium elegans,1.0,1.0,False
Deschampsia chapmani,Deschampsia chapmanii,1.0,0.992592592593,True
Didymotheca thesioides,Didymotheca thesioides,1.0,1.0,False
Dieffenbachia jenmanni,Dieffenbachia jenmanii,1.0,0.966666666667,False
Dinetus truncatus,Dinetus truncatus,1.0,1.0,False
Dioscorea vespertilio,Dioscorea vespertilio,1.0,1.0,False
Diospyros gavii,Diospyros gavii,1.0,1.0,False
Diospyros calycina,Diospyros calycina,1.0,1.0,False
Diospyros enderti,Diospyros endertii,1.0,0.9875,True
Diospyros austrocaledonica,Diospyros austrocaledonica,1.0,1.0,False
Diospyros neocaledonica,Diospyros neocaledonica,1.0,1.0,False
Dipterocarpus cuneatus,Dipterocarpus cuneatus,1.0,1.0,False
Dipterocarpus perturbinatus,Dipterocarpus perturbinatus,1.0,1.0,False
Discospermum polyspermum,Discospermum polyspermum,1.0,1.0,False
Dizygotheca lecardi,Dizygotheca lecardii,1.0,0.9875,True
Dodonaea aspleniifolia,Dodonaea aspleniifolia,1.0,1.0,False
Dodonaea dioica,Dodonaea dioica,1.0,1.0,False
Dombeya nodiflora,Dombeya nodiflora,1.0,1.0,False
Dorstenia intermedia,Dorstenia intermedia,1.0,1.0,False
Dorstenia homblei,Dorstenia homblei,1.0,1.0,False
Draba prozorovskii,Draba prozorovskii,1.0,1.0,False
Drosera tentaculata,Drosera tentaculata,1.0,1.0,False
Dryobalanops camphora,Dryobalanops camphora,1.0,1.0,False
Dryopteris triptera,Dryopteris triptera,1.0,1.0,False
Dysoxylum macrophyllum,Dysoxylum macrophyllum,1.0,1.0,False
Echinocactus tuberisulcatus,Echinocactus tuberculatus,1.0,0.941468253968,False
Echinospermum casanense,Echinospermum casanense,1.0,1.0,False
Echites trichonemus,Echites trichonemus,1.0,1.0,False
Echium obtusifolium,Echium obtusifolium,1.0,1.0,False
Elaeodendron cunninghami,Elaeodendron cunninghamii,1.0,1.0,True
Elaeodendron pubescens,Elaeodendron pubescens,1.0,1.0,False
Elaeodendron reticulatum,Elaeodendron reticulatum,1.0,1.0,False
Elaeodendron athranthum,Elaeodendron athranthum,1.0,1.0,False
Elaeodendron confertifolium,Elaeodendron confertiflorum,1.0,0.992673992674,False
Elaeodendron kraussianum,Elaeodendron kraussianum,1.0,1.0,False
Elatine spathulata,Elatine spathulata,1.0,1.0,False
Embothrium wickhamii,Embothrium wickhamii,1.0,1.0,False
Enalus acoroides,Enhalus acoroides,0.961904761905,1.0,False
Endonema thunbergii,Endonema thunbergii,1.0,1.0,False
Engelhardtia pterocarpa,Engelhardtia pterocarpa,1.0,1.0,False
Eragrostis pulchella,Eragrostis pulchella,1.0,1.0,False
Erica peduncularis,Erica peduncularis,1.0,1.0,False
Erica oblonga,Erica oblonga,1.0,1.0,False
Erica polytrichifolia,Erica polytrichifolia,1.0,1.0,False
Eriocapitella japonica,Eriocapitella japonica,1.0,1.0,False
Eriocaulon giganticum,Eriocaulon giganteum,1.0,0.958518518519,False
Eriodendron caribaeum,Eriodendron caribaeum,1.0,1.0,False
Erodium filicinum,Erodium filicinum,1.0,1.0,False
Eroteum calophyllum,Eroteum calophyllum,1.0,1.0,False
Erucastrum erucoides,Erucastrum erucoides,1.0,1.0,False
Ervatamia macrocarpa,Ervatamia macrocarpa,1.0,1.0,False
Ervatamia plumeriifolia,Ervatamia plumeriifolia,1.0,1.0,False
Eryngium zanonii,Eryngium zanonii,1.0,1.0,False
Eucalyptus mahoganii,Eucalyptus mahoganii,1.0,1.0,False
Eucalyptus kitsoni,Eucalyptus kitsonii,1.0,0.9875,True
Eucalyptus yangoura,Eucalyptus yangoura,1.0,1.0,False
Eucalyptus orientalis,Eucalyptus orientalis,1.0,1.0,False
Eucalyptus australis,Eucalyptus australiana,1.0,0.974410774411,False
Eucalyptus piperata,Eucalyptus piperata,1.0,1.0,False
Eucharidium concinnum,Eucharidium concinnum,1.0,1.0,False
Eugenia luehmanni,Eugenia luehmannii,1.0,0.996666666667,True
Euonymus wensiensis,Euonymus wensiensis,1.0,1.0,False
Euphorbia versicolores,Euphorbia versicolor,1.0,1.0,False
Euphoria didyma,Euphoria didyma,1.0,1.0,False
Eurybiopsis macrorrhiza,Eurybiopsis macrorhiza,1.0,0.987878787879,False
Fagara magalismontana,Fagara magaliesmontana,1.0,0.991111111111,False
Feronia lucida,Feronia lucida,1.0,1.0,False
Festuca distachyos,Festuca distachya,1.0,0.979259259259,False
Ficaria vulgaris,Ficaria vulgaris,1.0,1.0,False
Ficus rubescens,Ficus rufescens,1.0,0.940740740741,False
Ficus backhousii,Ficus backhousei,1.0,0.986666666667,False
Ficus ovoidea,Ficus ovoidea,1.0,1.0,False
Ficus serrata,Ficus serrata,1.0,1.0,False
Ficus baileyana,Ficus baileyana,1.0,1.0,False
Ficus thynneana,Ficus thynneana,1.0,1.0,False
Ficus neurocarpa,Ficus neurocarpa,1.0,1.0,False
Ficus villipes,Ficus villipes,1.0,1.0,False
Ficus floresana,Ficus floresina,1.0,0.953703703704,False
Ficus pseudoradula,Ficus pseudoradula,1.0,1.0,False
Ficus guineensis,Ficus guineensis,1.0,1.0,False
Ficus lambertiana,Ficus lambertiana,1.0,1.0,False
Ficus caudata,Ficus caudata,1.0,1.0,False
Ficus tenuicuspidata,Ficus tenuicuspidata,1.0,1.0,False
Ficus leptorhyncha,Ficus leptorhyncha,1.0,1.0,False
Ficus regia,Ficus regia,1.0,1.0,False
Ficus muntia,Ficus muntia,1.0,1.0,False
Ficus daphniphylla,Ficus daphniphylla,1.0,1.0,False
Ficus syringifolia,Ficus syringifolia,1.0,1.0,False
Ficus sieboldi,Ficus sieboldii,1.0,0.992592592593,True
Flindersia ifflaina,Flindersia ifflaiana,1.0,0.968518518519,False
Flindersia maculata,Flindersia maculata,1.0,1.0,False
Floscopa paniculatus,Floscopa paniculata,1.0,0.990606060606,True
Forsythia sieboldii,Forsythia sieboldii,1.0,1.0,False
Frankenia berteroana,Frankenia berteroana,1.0,1.0,False
Fraxinus eedenii,Fraxinus eedenii,1.0,1.0,False
Fraxinus verrucosa,Fraxinus verrucosa,1.0,1.0,False
Fraxinus atrovirens,Fraxinus atrovirens,1.0,1.0,False
Fumaria platycarpa,Fumaria platycalyx,1.0,0.94,False
