"gbif","tank","genus_jw","se_jw","gswitch","bothtpl","suspect","remove","manual.remove"
"Acacia brachybotrya","Acacia brachybotrya",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia brachystachya","Acacia brachystachya",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia bracteolata","Acacia bracteolata",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia brunioides","Acacia brunioides",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia bynoeana","Acacia bynoeana",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia caesiella","Acacia caesiella",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia calamifolia","Acacia calamifolia",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia calcicola","Acacia calcicola",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia caleyi","Acacia caleyi",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia cangaiensis","Acacia cangaiensis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia cardiophylla","Acacia cardiophylla",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia carolae","Acacia caroleae",1,0.955357142857,"False",FALSE,TRUE,FALSE,FALSE
"Acacia caroleae","Acacia caroleae",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia cavena","Acacia cavenia",1,0.97619047619,"False",FALSE,FALSE,FALSE,FALSE
"Acacia celastrifolia","Acacia celastrifolia",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia centrinervia","Acacia centrinervia",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia chartacea","Acacia chartacea",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia chinchillensis","Acacia chinchillensis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia chordophylla","Acacia chordophylla",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia chrysella","Acacia chrysella",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia chrysocephala","Acacia chrysocephala",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia cibaria","Acacia cibaria",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia cincinnata","Acacia cincinnata",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia citrinoviridis","Acacia citrinoviridis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia cochlearis","Acacia cochlearis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia cochliacantha","Acacia cochliacantha",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia cognata","Acacia cognata",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia colei","Acacia colei",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia concinna","Acacia concinna",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia confusa","Acacia confusa",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia conniana","Acacia conniana",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia constricta","Acacia constricta",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia courtii","Acacia courtii",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia cowellii","Acacia cowellii",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia cultriformis","Acacia cultriformis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia cupularis","Acacia cupularis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia curranii","Acacia curranii",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia cuspidifolia","Acacia cuspidifolia",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia cyperophylla","Acacia cyperophylla",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia dallachiana","Acacia dallachiana",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia dangarensis","Acacia dangarensis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia daphnifolia","Acacia daphnifolia",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia daviesioides","Acacia daviesioides",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia dawsonii","Acacia dawsonii",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia dealbata","Acacia dealbata",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia deanei","Acacia deanei",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia debilis","Acacia debilis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia decora","Acacia decora",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia decurrens","Acacia decurrens",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia delphina","Acacia delphina",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia demostachya","Acacia desmostachya",1,0.941414141414,"False",FALSE,TRUE,FALSE,FALSE
"Acacia dempsteri","Acacia dempsteri",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia densiflora","Acacia densiflora",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia denticulosa","Acacia denticulosa",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia dentifera","Acacia dentifera",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia derwentiana","Acacia derwentii",1,0.974410774411,"False",FALSE,FALSE,FALSE,FALSE
"Acacia dictyocarpa","Acacia dictyocarpa",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia dictyoneura","Acacia dictyoneura",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia difficilis","Acacia difficilis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia diffusa","Acacia diffusa",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia dimidiata","Acacia dimidiata",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia discolor","Acacia discolor",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia dolabriformis","Acacia dolabriformis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia doratoxylon","Acacia doratoxylon",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia drummondii","Acacia drummondii",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia eburnea","Acacia eburnea",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia echinula","Acacia echinula",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia elata","Acacia elata",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia elegans","Acacia elegans",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia elongata","Acacia elongata",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia enterocarpa","Acacia enterocarpa",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia ephedroides","Acacia ephedroides",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia erioloba","Acacia erioloba",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia eriopoda","Acacia eriopoda",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia euthycarpa","Acacia euthycarpa",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia exudans","Acacia exudans",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia fagonioides","Acacia fagonioides",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia falciformis","Acacia falciformis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia farnesiana","Acacia farnesiana",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia fasciculifera","Acacia fasciculifera",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia ferox","Acacia ferox",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia filicifolia","Acacia filicifolia",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia filicoides","Acacia filicioides",1,0.968181818182,"False",FALSE,FALSE,FALSE,FALSE
"Acacia filiculoides","Acacia filicioides",1,0.940404040404,"False",FALSE,TRUE,FALSE,FALSE
"Acacia fimbriata","Acacia fimbriata",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia flagelliformis","Acacia flagelliformis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia flexuosa","Acacia flexuosa",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia floribunda","Acacia floribunda",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia frigescens","Acacia frigescens",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia fulva","Acacia fulva",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia furcata","Acacia furcata",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia galioides","Acacia galioides",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia gelasina","Acacia gelasina",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia genistifolia","Acacia genistifolia",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia gibbosa","Acacia gibbosa",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia giraffa","Acacia giraffae",1,0.9875,"False",FALSE,FALSE,FALSE,FALSE
"Acacia giraffae","Acacia giraffae",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia gladiiformis","Acacia gladiiformis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia glauca","Acacia glauca",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia glaucocaesia","Acacia glaucocaesia",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia glaucocarpa","Acacia glaucocarpa",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia glaucoptera","Acacia glaucoptera",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia gordonii","Acacia gordonii",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia granitica","Acacia granitica",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia graniticola","Acacia granitica",1,0.987878787879,"False",TRUE,FALSE,FALSE,FALSE
"Acacia graveolens","Acacia graveolens",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia grayana","Acacia grayana",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia guinetii","Acacia guinetii",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia hakeoides","Acacia hakeoides",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia hamersleyensis","Acacia hamersleyensis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Acacia hamilitoniana","Acacia hamiltoniana",1,0.959401709402,"False",FALSE,TRUE,FALSE,FALSE
"Acacia hamiltoniana","Acacia hamiltoniana",1,1,"False",FALSE,FALSE,FALSE,FALSE
