Brownanthus solutifolius
Cuscuta chinensis
Passiflora pseudosuberosa
Plectranthus albus
Bismalva fastigiata
Medicago saxatilis
Lathyrus graminifolius
Salsola glomerata
Chengiopanax sciadophylloides
Jacobaea abrotanifolia
Hemicrepidospermum rhoifolium
Pentaschistis aspera
Astragalus americanus
Tumion nuciferum
Primula oresbia
Dipladenia venulosa
Annona nitida
Aretia pennina
Alstroemeria pelegrina
Salvia marrubioides
Virola venezuelensis
Calluna beleziana
Mimulus kingii
Bignonia longisiliqua
Rosa carelica
Sponia velutina
Primula denticulata
Rubus lanatus
Restio muirii
Opuntia vestita
Teucrium hippolyti
Valeriana rosaliana
Cayratia saponaria
Apodytes stuhlmanni
Argyreia campanulata
Hypericum officinarum
Solanum pycnanthemum
Hybanthus subsessilis
Rhododendron lophogynum
Aglaia barberi
Elytranthe flavida
Zanthoxylum peltophorum
Cordia peruviana
Dasycoleum sarawakanum
Urostigma laurifolium
Aspidoglossum heterophyllum
Oenothera chilensis
Selago longituba
Gongora amparoana
Sorbus caloneura
Trichera dipsacifolia
Monarda amplexicaulis
Echites xanthostomus
Mentha soleana
Acacia cincinnata
Rhododendron maddenii
Rhododendron polyandrum
Zaluzania megacephala
Habrothamnus helleri
Clematis stenophylla
Mentzelia pterosperma
Amparoa beloglossa
Isoetopsis graminifolia
Mentha despecta
Juncus fasciatus
Marilaunidium stenocarpum
Hyperum trididum
Psammisia sclerantha
Alangium handelii
Byrsonima spathulifolia
Mayna muricida
Psilocaulon leptarthron
Schizanthus alpestris
Leucanthemum vulgare
Thea olearia
Isopyrum raddeanum
Turritis rigida
Berkheya coddii
Centropodia mossamedensis
Sparaxis variegata
Podophyllum pleianthum
Gentiana scilloides
Gaultheria ulei
Schoenoplectiella mucronata
Keraselma spatulata
Ficus leucotricha
Randia armata
Piper alstonii
Symplocos lanata
Hibiscus surattensis
Penstemon deustus
Thymus hausmanni
Colutea cilicica
Callistemon citrinus
Cunonia capensis
Rosa soulieana
Bossiaea spinosa
Scolopia mundtii
Limnanthemum indicum
Ceratophyllum vulgare
Anemone altaica
Brachyachne ciliaris
Agalinis decemloba
Erica totta
Acer mayrii
Toddalia aculeata
Ptychosperma elegans
Simira cordifolia
Helianthemum syriacum
Xylobium leontoglossum
Bromelia chrysantha
Carex forsteri
Maxillaria huebschii
Blitum terminale
Onoclea obtusilobata
Ocotea fulvifolia
Coelogyne septemcostata
Plectranthus comosus
Tocoyena williamsii
Artanthe eximia
Cremaspora triflora
Fragaria vesca
Eotaiwania fushunensis
Craspedia leucantha
Fouquieria macdougalii
Meum segetum
Draba candollei
Torilis anthriscus
Passiflora glabrata
Spirillus perfoliatus
Chamaedorea pochutlensis
Bretschneidera sinensis
Salix fagifolia
Gnidia wickstroemiana
Banisteria bicolor
Lyginia imberbis
Matthiola rostrata
Disocactus amazonicus
Plectranthus ovatus
Actinocheita potentillifolia
Mentha lata
Elymus riparius
Ferreola guineensis
